id,lon,lat,depth_m,mea_ug_kg_orig
13561,16.24,41.339444,4.0,570.0
13562,16.24,41.339444,4.0,600.0
13563,16.24,41.339444,4.0,920.0
13564,16.24,41.339444,4.0,1010.0
13565,16.24,41.339444,4.0,4500.0
13566,16.24,41.339444,4.0,4740.0
13567,16.24,41.339444,4.0,6266.0
13568,16.24,41.339444,4.0,8050.0
13569,16.24,41.339444,4.0,14700.0
13570,16.24,41.339444,0.0,92.0
13571,16.24,41.339444,0.0,101.0
13572,16.24,41.339444,0.0,113.0
13573,16.24,41.339444,0.0,450.0
13574,15.028332999999998,41.981667,0.0,40.0
13575,15.028332999999998,41.981667,0.0,59.0
13576,15.028332999999998,41.981667,0.0,89.0
13577,15.028332999999998,41.981667,0.0,122.0
13578,15.028332999999998,41.981667,0.0,460.0
13579,15.028332999999998,41.981667,0.0,490.0
13580,15.028332999999998,41.981667,0.0,500.0
13581,15.028332999999998,41.981667,0.0,590.0
13582,15.028332999999998,41.981667,0.0,850.0
13583,15.028332999999998,41.981667,0.0,890.0
13584,15.028332999999998,41.981667,0.0,1210.0
13585,15.028332999999998,41.981667,0.0,1360.0
13586,15.031944000000001,41.985556,0.0,2800.0
13587,15.031944000000001,41.985556,0.0,2800.0
13588,15.031944000000001,41.985556,0.0,2850.0
13589,15.031944000000001,41.985556,0.0,2900.0
13590,15.031944000000001,41.985556,0.0,3150.0
13591,15.031944000000001,41.985556,0.0,3600.0
13592,15.031944000000001,41.985556,0.0,3690.0
13593,18.001944,40.65,3.0,78.0
13594,18.001944,40.65,3.0,240.0
13595,18.001944,40.65,3.0,400.0
13596,18.001944,40.65,3.0,457.0
13597,18.001944,40.65,3.0,520.0
13598,18.001944,40.65,3.0,610.0
13599,18.001944,40.65,3.0,760.0
13600,18.001944,40.65,3.0,780.0
13601,18.001944,40.65,3.0,1000.0
13602,18.001944,40.65,3.0,1010.0
13603,18.001944,40.65,3.0,1060.0
13604,18.001944,40.65,3.0,1210.0
13605,18.001944,40.65,3.0,1750.0
13606,18.001944,40.65,3.0,1800.0
13607,18.001944,40.65,3.0,1850.0
13608,18.001944,40.65,3.0,2400.0
13609,18.004167000000002,40.653333,0.0,24.0
13610,18.004167000000002,40.653333,0.0,131.0
13611,18.004167000000002,40.653333,0.0,170.0
13612,9.131667,39.189444,0.0,50.0
13613,9.131667,39.189444,0.0,110.0
13614,9.131667,39.189444,0.0,140.0
13615,9.131667,39.189444,0.0,180.0
13616,9.131667,39.189444,0.0,180.0
13617,12.347778,45.086944,2.0,20.0
13618,12.347778,45.086944,2.0,20.0
13619,12.347778,45.086944,2.0,1080.0
13620,12.347778,45.086944,2.0,1830.0
13621,12.347778,45.086944,2.0,4880.0
13622,12.3625,45.076667,2.0,520.0
13623,12.3625,45.076667,2.0,701.0
13624,12.3625,45.076667,2.0,800.0
13625,12.3625,45.076667,2.0,1000.0
13626,12.3625,45.076667,2.0,1200.0
13627,12.3625,45.076667,2.0,1200.0
13628,12.3625,45.076667,2.0,1730.0
13629,12.3625,45.076667,2.0,2048.1
13630,12.3625,45.076667,2.0,2300.0
13631,12.3625,45.076667,2.0,2500.0
13632,12.3625,45.076667,2.0,2500.0
13633,12.3625,45.076667,2.0,2800.0
13634,12.3625,45.076667,2.0,2800.0
13635,12.3625,45.076667,2.0,3200.0
13636,12.3625,45.076667,2.0,3257.0
13637,12.3625,45.076667,2.0,10191.0
13638,12.3625,45.076667,0.0,140.0
13639,12.3625,45.076667,0.0,230.0
13640,12.3625,45.076667,0.0,230.0
13641,12.3625,45.076667,0.0,250.0
13642,12.3625,45.076667,0.0,320.0
13643,15.916667000000002,41.616667,0.0,0.02
13644,12.943056,45.616667,2.0,30.0
13645,12.943056,45.616667,2.0,70.0
13646,12.943056,45.616667,2.0,80.0
13647,12.943056,45.616667,2.0,340.0
13648,12.943056,45.616667,2.0,820.0
13649,15.6675,41.928889,0.0,0.01
13650,15.6675,41.928889,0.0,0.04
13651,12.748889,43.993333,0.0,10.0
13652,12.748889,43.993333,0.0,43.0
13653,12.748889,43.993333,0.0,52.0
13654,12.748889,43.993333,0.0,70.0
13655,12.748889,43.993333,0.0,130.0
13656,12.763333,43.988889,11.0,0.03
13657,12.763333,43.988889,11.0,0.03
13658,12.763333,43.988889,11.0,100.0
13659,12.763333,43.988889,11.0,100.0
13660,12.763333,43.988889,11.0,100.0
13661,12.763333,43.988889,11.0,100.0
13662,12.763333,43.988889,11.0,100.0
13663,12.763333,43.988889,11.0,100.0
13664,12.763333,43.988889,11.0,100.0
13665,12.763333,43.988889,11.0,100.0
13666,12.763333,43.988889,11.0,100.0
13667,12.763333,43.988889,11.0,100.0
13668,12.763333,43.988889,11.0,560.0
13669,12.763333,43.988889,11.0,710.0
13670,12.763333,43.988889,11.0,1320.0
13671,12.763333,43.988889,11.0,1710.0
13672,12.463056,44.219444,0.0,40.0
13673,12.463056,44.219444,0.0,48.0
13674,12.463056,44.219444,0.0,50.0
13675,12.463056,44.219444,0.0,140.0
13676,12.463056,44.219444,0.0,180.0
13677,12.431667,44.220555,9.0,1880.0
13678,12.431667,44.220556,9.0,0.03
13679,12.431667,44.220556,9.0,0.03
13680,12.431667,44.220556,9.0,100.0
13681,12.431667,44.220556,9.0,100.0
13682,12.431667,44.220556,9.0,100.0
13683,12.431667,44.220556,9.0,100.0
13684,12.431667,44.220556,9.0,100.0
13685,12.431667,44.220556,9.0,100.0
13686,12.431667,44.220556,9.0,100.0
13687,12.431667,44.220556,9.0,100.0
13688,12.431667,44.220556,9.0,100.0
13689,12.431667,44.220556,9.0,100.0
13690,12.431667,44.220556,9.0,720.0
13691,12.431667,44.220556,9.0,1780.0
13692,12.431667,44.220556,9.0,1880.0
13693,12.431667,44.220556,9.0,8500.0
13694,13.737778,43.300833000000004,2.0,610.0
13695,13.737778,43.300833000000004,2.0,870.0
13696,13.737778,43.300833000000004,2.0,1000.0
13697,13.737778,43.300833000000004,2.0,1000.0
13698,13.737778,43.300833000000004,2.0,1060.0
13699,13.737778,43.300833000000004,2.0,1100.0
13700,13.737778,43.300833000000004,2.0,1230.0
13701,13.737778,43.300833000000004,2.0,1310.0
13702,13.737778,43.300833000000004,2.0,1310.0
13703,13.737778,43.300833000000004,2.0,1460.0
13704,13.737778,43.300833000000004,2.0,2050.0
13705,13.737778,43.300833000000004,2.0,2300.0
13706,13.737778,43.300833000000004,2.0,6300.0
13707,13.737778,43.300833000000004,0.0,87.0
13708,13.737778,43.300833000000004,0.0,91.0
13709,13.737778,43.300833000000004,0.0,123.0
13710,13.737778,43.300833000000004,0.0,246.0
13711,13.737778,43.300833000000004,0.0,315.0
13712,13.591944,45.770556,6.0,1160.0
13713,13.591944,45.770556,6.0,2070.0
13714,13.591944,45.770556,6.0,4300.0
13715,13.591944,45.770556,6.0,6900.0
13716,13.591944,45.770556,6.0,11100.0
13717,13.591944,45.770556,6.0,16600.0
13718,13.591944,45.770556,6.0,39700.0
13719,13.366944,43.645,0.0,61.0
13720,13.366944,43.645,0.0,69.0
13721,13.366944,43.645,0.0,97.0
13722,13.366944,43.645,3.0,153.5
13723,13.366944,43.645,3.0,200.0
13724,13.366944,43.645,0.0,296.0
13725,13.366944,43.645,3.0,500.0
13726,13.366944,43.645,3.0,600.0
13727,13.366944,43.645,3.0,610.0
13728,13.366944,43.645,3.0,610.0
13729,13.366944,43.645,3.0,730.0
13730,13.366944,43.645,3.0,740.0
13731,13.366944,43.645,3.0,740.0
13732,13.366944,43.645,3.0,750.0
13733,13.366944,43.645,3.0,790.0
13734,13.366944,43.645,3.0,800.0
13735,13.366944,43.645,3.0,970.0
13736,13.366944,43.645,3.0,980.0
13737,13.366944,43.645,3.0,980.0
13738,13.366944,43.645,3.0,980.0
13739,13.366944,43.645,3.0,1000.0
13740,13.366944,43.645,3.0,1070.0
13741,13.366944,43.645,3.0,1070.0
13742,13.366944,43.645,3.0,1110.0
13743,13.366944,43.645,3.0,1620.0
13744,13.366944,43.645,3.0,1720.0
13745,13.366944,43.645,3.0,1730.0
13746,13.366944,43.645,3.0,2360.0
13747,12.978611,45.620556,0.0,210.0
13748,12.978611,45.620556,0.0,480.0
13749,12.978611,45.620556,0.0,540.0
13750,12.978611,45.620556,0.0,770.0
13751,12.978611,45.620556,0.0,1060.0
13752,15.5075,41.913610999999996,0.0,0.01
13753,15.5075,41.913610999999996,0.0,0.05
13754,12.900556,43.924721999999996,4.0,380.0
13755,12.900556,43.924721999999996,4.0,500.0
13756,12.900556,43.924721999999996,4.0,540.0
13757,12.900556,43.924721999999996,4.0,810.0
13758,12.900556,43.924721999999996,4.0,1000.0
13759,12.900556,43.924721999999996,4.0,1000.0
13760,12.900556,43.924721999999996,4.0,1000.0
13761,12.900556,43.924721999999996,4.0,1000.0
13762,12.900556,43.924721999999996,4.0,1040.0
13763,12.900556,43.924721999999996,4.0,1040.0
13764,12.900556,43.924721999999996,4.0,1050.0
13765,12.900556,43.924721999999996,4.0,1120.0
13766,12.900556,43.924721999999996,4.0,1190.0
13767,12.900556,43.924721999999996,4.0,1200.0
13768,12.900556,43.924721999999996,4.0,1300.0
13769,12.900556,43.924721999999996,4.0,1500.0
13770,12.900556,43.924721999999996,4.0,1500.0
13771,12.900556,43.924721999999996,4.0,1500.0
13772,12.900556,43.924721999999996,4.0,1690.0
13773,12.900556,43.924721999999996,4.0,1800.0
13774,12.900556,43.924721999999996,4.0,2000.0
13775,12.900556,43.924721999999996,4.0,2000.0
13776,12.900556,43.924721999999996,4.0,2500.0
13777,12.900556,43.924721999999996,4.0,2800.0
13778,12.900556,43.924721999999996,4.0,3100.0
13779,12.900556,43.924721999999996,4.0,3300.0
13780,12.900556,43.924721999999996,0.0,54.0
13781,12.900556,43.924721999999996,0.0,60.0
13782,12.900556,43.924721999999996,0.0,105.0
13783,12.900556,43.924721999999996,0.0,308.0
13784,13.892778,43.016667,13.0,1600.0
13785,13.892778,43.016667,13.0,3000.0
13786,12.287222,44.662778,9.0,750.0
13787,12.287222,44.662778,9.0,840.0
13788,12.287222,44.662778,9.0,1660.0
13789,12.287222,44.662778,9.0,4800.0
13790,12.294444,44.701111,0.0,20.0
13791,12.294444,44.701111,0.0,20.0
13792,12.294444,44.701111,0.0,24.0
13793,12.294444,44.701111,0.0,89.0
13794,12.294444,44.701111,0.0,150.0
13795,12.296944,44.782778,4.0,0.03
13796,12.296944,44.782778,4.0,0.03
13797,12.296944,44.782778,4.0,0.03
13798,12.296944,44.782778,4.0,100.0
13799,12.296944,44.782778,4.0,100.0
13800,12.296944,44.782778,4.0,100.0
