id,lat,lon,mea_ug_kg_orig
75,43.109118,3.6934050000000003,330.0
76,43.109118,3.6934050000000003,350.0
80,42.780537,4.352197,170.0
81,42.780537,4.352197,260.0
162,41.883963,15.439160999999999,180.0
165,39.400938000000004,1.876632,50.0
206,44.232081,8.867611,685.0
517,44.232081,8.867611,1069.0
526,37.138946000000004,26.787011,59.0
527,40.727140999999996,28.164105,34.0
542,38.461457,15.07746,245.0
543,38.461457,15.07746,378.0
544,38.461457,15.07746,431.0
545,38.461457,15.07746,544.0
546,36.706913,15.141335,98.0
547,36.706913,15.141335,114.0
548,44.380912,9.020608,100.0
549,44.380912,9.020608,110.0
550,44.380912,9.020608,140.0
551,44.380912,9.020608,590.0
552,44.380912,9.020608,650.0
553,44.380912,9.020608,870.0
554,44.380912,9.020608,910.0
555,44.380912,9.020608,1840.0
561,44.232081,8.867611,211.0
569,40.727140999999996,28.164105,22.0
582,44.232081,8.867611,229.0
632,40.822266,14.094238,103.0
633,37.1500444,15.272480900000001,120.0
634,37.1500444,15.272480900000001,236.0
645,44.232081,8.867611,207.0
656,37.447237,21.601781,10.0
657,37.447237,21.601781,20.0
658,37.447237,21.601781,60.0
659,37.447237,21.601781,100.0
660,37.447237,21.601781,150.0
776,34.252419,35.657042,221.0
777,34.252419,35.657042,239.0
778,34.065197,35.640417,148.0
779,34.065197,35.640417,182.0
780,33.98933333,35.63716667,180.0
781,33.98933333,35.63716667,210.0
782,34.275044,35.652203,550.0
783,34.275044,35.652203,552.0
784,34.27378,35.651773,214.0
785,34.27378,35.651773,240.0
786,34.251944,35.657598,223.0
787,34.082152,35.648058,150.0
788,34.161141,35.632875,180.0
789,34.273,35.652233,215.0
790,34.287628000000005,35.665445,555.0
799,31.305571999999998,32.308567,28.0
800,31.305571999999998,32.308567,67.0
824,36.050641,-5.472253,-9999.0
825,36.134946,-5.397188,-9999.0
826,36.134946,-5.397188,-9999.0
827,37.2193464,15.200154300000001,1701.0
894,37.620182,-0.690947,10.0
895,37.620182,-0.690947,20.0
896,37.620182,-0.690947,20.0
897,37.620182,-0.690947,20.0
898,37.620182,-0.690947,40.0
899,37.620182,-0.690947,50.0
900,37.620182,-0.690947,60.0
901,37.620182,-0.690947,70.0
902,37.620182,-0.690947,80.0
903,37.620182,-0.690947,80.0
904,37.620182,-0.690947,110.0
905,37.620182,-0.690947,140.0
906,37.620182,-0.690947,140.0
907,37.620182,-0.690947,140.0
908,37.620182,-0.690947,240.0
909,37.620182,-0.690947,390.0
910,37.620182,-0.690947,430.0
911,37.620182,-0.690947,440.0
912,37.620182,-0.690947,450.0
913,37.620182,-0.690947,470.0
914,40.596097,14.418904999999999,400.0
